# UEB Appendix 2「Word List」— Section 10（縮約）の用例語と、その点字・適用規則。
# 出典: The Rules of Unified English Braille, Third Edition 2024 (ICEB)
#   https://iceb.org/wp-content/uploads/2025/10/Rules-of-Unified-English-Braille-2024.pdf
#   ICEB により Creative Commons ライセンスで公開されている。
# 用途: 英語点訳エンジンの回帰コーパス（tests/ueb_appendix2.rs）。
# 列: 原文 <TAB> 期待する点字 <TAB> 規則番号
elsewhere	⠑⠇⠎⠑⠐⠱	10.7.1, 10.7.5
en route	⠑⠝ ⠗⠳⠞⠑	10.6.9
enamel	⠢⠁⠍⠑⠇	10.7.5
enceinte	⠢⠉⠑⠔⠞⠑	10.6.8
encephalitis	⠢⠉⠑⠏⠓⠁⠇⠊⠞⠊⠎	10.8.1
encyclopaedia	⠢⠉⠽⠉⠇⠕⠏⠁⠫⠊⠁	10.11.9
engine	⠢⠛⠔⠑	10.6.8
England	⠠⠢⠛⠇⠯	10.3.1
Enid	⠠⠢⠊⠙	10.6.8
enormous	⠢⠕⠗⠍⠳⠎	10.6.8, 10.11.5
enough's	⠢⠄⠎	10.5.2
enounce	⠢⠳⠝⠉⠑	10.11.5
enumerate	⠢⠥⠍⠻⠁⠞⠑	10.11.5
epicurean	⠑⠏⠊⠉⠥⠗⠂⠝	10.6.5
equinox	⠑⠟⠥⠔⠕⠭	10.6.8
erase	⠻⠁⠎⠑	10.4.1, 10.11.5
Erie	⠠⠻⠊⠑	10.4.1
erosion	⠻⠕⠨⠝	10.11.5
erroneous	⠻⠗⠕⠝⠑⠳⠎	10.7.6
error	⠻⠗⠕⠗	10.4.1
Esther	⠠⠑⠎⠮⠗	10.3.1
et al	⠑⠞ ⠰⠁⠇	10.9.7
ethereal	⠑⠮⠗⠂⠇	10.7.2, 10.7.5
European	⠠⠑⠥⠗⠕⠏⠂⠝	10.11.7
Everest	⠠⠐⠑⠑⠌	10.7.4
evermore	⠐⠑⠍⠕⠗⠑	10.1.1
